Transaction,Date,Student,Course,Paid,Tax,Total Tax
"22C041",2022-03-02 00:00:00.000,"22S019","22C10",12000,2160,2160
"22C042",2022-03-02 00:00:00.000,"22S019","22C03",6000,1080,1080
"22C043",2022-03-03 00:00:00.000,"22S020","22C05",2000,360,360
"22C044",2022-03-03 00:00:00.000,"22S020","22C03",1000,180,180
"22C045",2022-03-03 00:00:00.000,"22S020","22C13",6000,1080,1080
"22C046",2022-03-04 00:00:00.000,"22S021","22C03",6000,1080,1080
"22C047",2022-03-04 00:00:00.000,"22S021","22C06",1000,180,180
"22C048",2022-03-04 00:00:00.000,"22S021","22C15",10000,1800,1800
"22C049",2022-03-06 00:00:00.000,"22S022","22C08",4000,720,720
"22C050",2022-03-06 00:00:00.000,"22S022","22C13",6000,1080,1080
"22C051",2022-03-06 00:00:00.000,"22S022","22C09",7000,1260,1260
"22C052",2022-03-12 00:00:00.000,"22S023","22C08",8000,1440,1440
"22C053",2022-03-12 00:00:00.000,"22S023","22C03",6000,1080,1080
"22C054",2022-03-12 00:00:00.000,"22S024","22C09",4000,720,720
"22C055",2022-03-12 00:00:00.000,"22S023","22C12",8000,1440,1440
"22C056",2022-03-13 00:00:00.000,"22S009","22C03",2000,360,360
"22C057",2022-03-13 00:00:00.000,"22S009","22C10",3000,540,540
"22C058",2022-03-14 00:00:00.000,"22S025","22C12",1000,180,180
"22C059",2022-03-14 00:00:00.000,"22S012","22C12",5000,900,900
"22C060",2022-03-14 00:00:00.000,"22S025","22C10",4000,720,720
"22C061",2022-03-15 00:00:00.000,"22S026","22C09",1000,180,180
"22C062",2022-03-15 00:00:00.000,"22S026","22C13",6000,1080,1080
"22C063",2022-03-15 00:00:00.000,"22S026","22C12",2000,360,360
"22C064",2022-03-22 00:00:00.000,"22S013","22C04",3000,540,540
"22C065",2022-03-23 00:00:00.000,"22S027","22C05",6000,1080,1080
"22C066",2022-03-26 00:00:00.000,"22S028","22C07",6000,1080,1080
"22C067",2022-03-26 00:00:00.000,"22S028","22C02",9000,1620,1620
"22C068",2022-03-28 00:00:00.000,"22S029","22C13",6000,1080,1080
"22C069",2022-03-28 00:00:00.000,"22S029","22C06",2000,360,360
"22C070",2022-03-28 00:00:00.000,"22S030","22C05",6000,1080,1080
"22C071",2022-03-28 00:00:00.000,"22S030","22C02",9000,1620,1620
"22C072",2022-03-28 00:00:00.000,"22S030","22C15",10000,1800,1800
"22C073",2022-04-03 00:00:00.000,"22S031","22C01",2000,360,360
"22C074",2022-04-03 00:00:00.000,"22S021","22C06",6500,1170,1170
"22C075",2022-04-03 00:00:00.000,"22S031","22C02",9000,1620,1620
"22C076",2022-04-04 00:00:00.000,"22S032","22C07",4000,720,720
"22C077",2022-04-04 00:00:00.000,"22S032","22C14",15000,2700,2700
"22C078",2022-04-06 00:00:00.000,"22S033","22C03",6000,1080,1080
"22C079",2022-04-08 00:00:00.000,"22S014","22C15",5000,900,900
"22C080",2022-04-08 00:00:00.000,"22S014","22C13",2000,360,360
"22C081",2022-04-08 00:00:00.000,"22S034","22C01",1000,180,180
"22C082",2022-04-08 00:00:00.000,"22S034","22C03",6000,1080,1080
"22C083",2022-04-08 00:00:00.000,"22S034","22C12",4000,720,720
"22C084",2022-04-08 00:00:00.000,"22S014","22C04",2000,360,360
"22C085",2022-04-11 00:00:00.000,"22S016","22C14",11000,1980,1980
"22C086",2022-04-11 00:00:00.000,"22S016","22C04",9000,1620,1620
"22C087",2022-04-11 00:00:00.000,"22S016","22C03",5000,900,900
"22C088",2022-04-14 00:00:00.000,"22S024","22C09",3000,540,540
"22C089",2022-04-18 00:00:00.000,"22S018","22C06",1500,270,270
"22C090",2022-04-18 00:00:00.000,"22S037","22C15",4000,720,720
"22C091",2022-04-18 00:00:00.000,"22S037","22C12",8000,1440,1440
"22C092",2022-04-18 00:00:00.000,"22S036","22C06",5000,900,900
"22C093",2022-04-18 00:00:00.000,"22S035","22C14",15000,2700,2700
"22C094",2022-04-18 00:00:00.000,"22S035","22C01",6000,1080,1080
"22C095",2022-04-21 00:00:00.000,"22S038","22C12",5000,900,900
"22C096",2022-04-21 00:00:00.000,"22S039","22C01",3000,540,540
"22C097",2022-04-21 00:00:00.000,"22S039","22C11",1000,180,180
"22C098",2022-04-21 00:00:00.000,"22S038","22C13",5000,900,900
"22C099",2022-04-21 00:00:00.000,"22S040","22C10",5000,900,900
"22C100",2022-04-21 00:00:00.000,"22S038","22C01",5000,900,900
"22C101",2022-04-21 00:00:00.000,"22S040","22C14",15000,2700,2700
"22C102",2022-04-21 00:00:00.000,"22S040","22C09",4000,720,720
"22C103",2022-04-28 00:00:00.000,"22S017","22C10",9000,1620,1620
"22C104",2022-04-28 00:00:00.000,"22S017","22C03",1000,180,180
"22C105",2022-04-28 00:00:00.000,"22S029","22C06",5500,990,990
"22C106",2022-04-28 00:00:00.000,"22S026","22C09",6000,1080,1080
"22C107",2022-04-28 00:00:00.000,"22S026","22C12",6000,1080,1080
"22C108",2022-04-30 00:00:00.000,"22S022","22C08",4000,720,720
"22C109",2022-05-01 00:00:00.000,"22S020","22C05",4000,720,720
"22C110",2022-05-01 00:00:00.000,"22S020","22C03",5000,900,900
"22C111",2022-05-02 00:00:00.000,"22S041","22C03",2000,360,360
"22C112",2022-05-02 00:00:00.000,"22S025","22C10",8000,1440,1440
"22C113",2022-05-02 00:00:00.000,"22S025","22C12",7000,1260,1260
"22C114",2022-05-04 00:00:00.000,"22S042","22C02",9000,1620,1620
"22C115",2022-05-05 00:00:00.000,"22S043","22C09",1000,180,180
"22C116",2022-05-05 00:00:00.000,"22S043","22C06",4000,720,720
"22C117",2022-05-05 00:00:00.000,"22S043","22C08",8000,1440,1440
"22C118",2022-05-06 00:00:00.000,"22S044","22C02",1000,180,180
"22C119",2022-05-06 00:00:00.000,"22S044","22C13",6000,1080,1080
"22C120",2022-05-06 00:00:00.000,"22S044","22C08",7000,1260,1260
"22C121",2022-05-14 00:00:00.000,"22S045","22C15",8000,1440,1440
"22C122",2022-05-14 00:00:00.000,"22S045","22C04",17000,3060,3060
"22C123",2022-05-16 00:00:00.000,"22S046","22C04",18000,3240,3240
"22C124",2022-05-17 00:00:00.000,"22S047","22C07",6000,1080,1080
"22C125",2022-05-18 00:00:00.000,"22S048","22C02",2000,360,360
"22C126",2022-05-22 00:00:00.000,"22S031","22C01",4000,720,720
"22C127",2022-05-24 00:00:00.000,"22S036","22C06",2500,450,450
"22C128",2022-05-25 00:00:00.000,"22S049","22C14",15000,2700,2700
"22C129",2022-05-25 00:00:00.000,"22S050","22C06",3000,540,540
"22C130",2022-05-25 00:00:00.000,"22S049","22C04",18000,3240,3240
"22C131",2022-05-25 00:00:00.000,"22S050","22C05",1000,180,180
"22C132",2022-05-28 00:00:00.000,"22S051","22C03",6000,1080,1080
"22C133",2022-05-28 00:00:00.000,"22S051","22C13",4000,720,720
"22C134",2022-05-28 00:00:00.000,"22S051","22C14",15000,2700,2700
"22C135",2022-05-31 00:00:00.000,"22S032","22C07",2000,360,360
"22C136",2022-06-02 00:00:00.000,"22S039","22C01",3000,540,540
"22C137",2022-06-02 00:00:00.000,"22S039","22C11",5000,900,900
"22C138",2022-06-02 00:00:00.000,"22S041","22C03",4000,720,720
"22C139",2022-06-05 00:00:00.000,"22S034","22C12",4000,720,720
"22C140",2022-06-05 00:00:00.000,"22S040","22C09",3000,540,540
"22C141",2022-06-05 00:00:00.000,"22S034","22C01",5000,900,900
"22C142",2022-06-05 00:00:00.000,"22S040","22C10",7000,1260,1260
"22C143",2022-06-06 00:00:00.000,"22S038","22C12",3000,540,540
"22C144",2022-06-06 00:00:00.000,"22S038","22C01",1000,180,180
"22C145",2022-06-06 00:00:00.000,"22S038","22C13",1000,180,180
"22C146",2022-06-08 00:00:00.000,"22S037","22C15",6000,1080,1080
"22C147",2022-06-16 00:00:00.000,"22S052","22C09",3000,540,540
"22C148",2022-06-16 00:00:00.000,"22S052","22C14",15000,2700,2700
"22C149",2022-06-18 00:00:00.000,"22S053","22C04",18000,3240,3240
"22C150",2022-06-23 00:00:00.000,"22S054","22C13",6000,1080,1080
"22C151",2022-06-24 00:00:00.000,"22S045","22C15",2000,360,360
"22C152",2022-06-24 00:00:00.000,"22S045","22C04",1000,180,180
"22C153",2022-06-25 00:00:00.000,"22S055","22C02",9000,1620,1620
"22C154",2022-06-26 00:00:00.000,"22S050","22C05",5000,900,900
"22C155",2022-06-26 00:00:00.000,"22S050","22C06",4500,810,810
"22C156",2022-07-02 00:00:00.000,"22S056","22C10",4000,720,720
"22C157",2022-07-02 00:00:00.000,"22S051","22C13",2000,360,360
"22C158",2022-07-02 00:00:00.000,"22S043","22C06",3500,630,630
"22C159",2022-07-02 00:00:00.000,"22S043","22C09",6000,1080,1080
"22C160",2022-07-02 00:00:00.000,"22S057","22C11",6000,1080,1080
"22C161",2022-07-02 00:00:00.000,"22S056","22C09",7000,1260,1260
"22C162",2022-07-03 00:00:00.000,"22S044","22C02",8000,1440,1440
"22C163",2022-07-03 00:00:00.000,"22S044","22C08",1000,180,180
"22C164",2022-07-05 00:00:00.000,"22S058","22C05",2000,360,360
"22C165",2022-07-05 00:00:00.000,"22S058","22C14",14000,2520,2520
"22C166",2022-07-05 00:00:00.000,"22S058","22C06",5000,900,900
"22C167",2022-07-09 00:00:00.000,"22S059","22C03",6000,1080,1080
"22C168",2022-07-09 00:00:00.000,"22S059","22C07",6000,1080,1080
"22C169",2022-07-10 00:00:00.000,"22S048","22C02",7000,1260,1260
"22C170",2022-07-11 00:00:00.000,"22S060","22C07",6000,1080,1080
"22C171",2022-07-13 00:00:00.000,"22S061","22C07",6000,1080,1080
"22C172",2022-07-13 00:00:00.000,"22S061","22C03",6000,1080,1080
"22C173",2022-07-18 00:00:00.000,"22S062","22C09",7000,1260,1260
"22C174",2022-07-20 00:00:00.000,"22S063","22C06",7500,1350,1350
"22C175",2022-07-20 00:00:00.000,"22S063","22C10",12000,2160,2160
"22C176",2022-07-22 00:00:00.000,"22S064","22C04",18000,3240,3240
"22C177",2022-07-22 00:00:00.000,"22S064","22C05",6000,1080,1080
"22C178",2022-07-26 00:00:00.000,"22S065","22C08",6000,1080,1080
"22C179",2022-07-26 00:00:00.000,"22S065","22C03",6000,1080,1080
"22C180",2022-07-26 00:00:00.000,"22S065","22C07",6000,1080,1080
"22C181",2022-07-31 00:00:00.000,"22S066","22C09",6000,1080,1080
"22C182",2022-07-31 00:00:00.000,"22S066","22C11",4000,720,720
"22C183",2022-07-31 00:00:00.000,"22S066","22C01",3000,540,540
"22C184",2022-08-10 00:00:00.000,"22S052","22C09",4000,720,720
"22C185",2022-08-14 00:00:00.000,"22S067","22C02",5000,900,900
"22C186",2022-08-14 00:00:00.000,"22S067","22C12",8000,1440,1440
"22C187",2022-08-15 00:00:00.000,"22S068","22C08",8000,1440,1440
"22C188",2022-08-15 00:00:00.000,"22S068","22C01",3000,540,540
"22C189",2022-08-15 00:00:00.000,"22S068","22C09",2000,360,360
"22C190",2022-08-17 00:00:00.000,"22S069","22C11",4000,720,720
"22C191",2022-08-17 00:00:00.000,"22S069","22C14",15000,2700,2700
"22C192",2022-08-24 00:00:00.000,"22S070","22C09",7000,1260,1260
"22C193",2022-08-25 00:00:00.000,"22S071","22C01",5000,900,900
"22C194",2022-08-25 00:00:00.000,"22S071","22C12",8000,1440,1440
"22C195",2022-08-25 00:00:00.000,"22S071","22C14",10000,1800,1800
"22C196",2022-08-25 00:00:00.000,"22S058","22C14",1000,180,180
"22C197",2022-08-25 00:00:00.000,"22S058","22C05",4000,720,720
"22C198",2022-08-25 00:00:00.000,"22S058","22C06",2500,450,450
"22C199",2022-08-31 00:00:00.000,"22S066","22C11",2000,360,360
"22C200",2022-08-31 00:00:00.000,"22S066","22C09",1000,180,180
"22C201",2022-08-31 00:00:00.000,"22S066","22C01",3000,540,540
"22C202",2022-08-31 00:00:00.000,"22S056","22C10",8000,1440,1440
"22C203",2022-09-03 00:00:00.000,"22S072","22C08",8000,1440,1440
"22C204",2022-09-03 00:00:00.000,"22S072","22C09",6000,1080,1080
"22C205",2022-09-03 00:00:00.000,"22S072","22C05",5000,900,900
"22C206",2022-09-08 00:00:00.000,"22S073","22C09",2000,360,360
"22C207",2022-09-08 00:00:00.000,"22S073","22C12",1000,180,180
"22C208",2022-09-16 00:00:00.000,"22S076","22C05",4000,720,720
"22C209",2022-09-16 00:00:00.000,"22S075","22C07",1000,180,180
"22C210",2022-09-16 00:00:00.000,"22S075","22C06",7500,1350,1350
"22C211",2022-09-16 00:00:00.000,"22S074","22C01",2000,360,360
"22C212",2022-09-16 00:00:00.000,"22S074","22C06",5000,900,900
"22C213",2022-09-16 00:00:00.000,"22S075","22C01",1000,180,180
"22C214",2022-09-22 00:00:00.000,"22S065","22C08",2000,360,360
"22C215",2022-09-26 00:00:00.000,"22S077","22C12",8000,1440,1440
"22C216",2022-09-26 00:00:00.000,"22S077","22C09",7000,1260,1260
"22C217",2022-09-29 00:00:00.000,"22S079","22C05",2000,360,360
"22C218",2022-09-29 00:00:00.000,"22S079","22C01",1000,180,180
"22C219",2022-09-29 00:00:00.000,"22S078","22C08",6000,1080,1080
"22C220",2022-10-03 00:00:00.000,"22S067","22C02",4000,720,720
"22C221",2022-10-04 00:00:00.000,"22S080","22C11",6000,1080,1080
"22C222",2022-10-06 00:00:00.000,"22S069","22C11",2000,360,360
"22C223",2022-10-08 00:00:00.000,"22S081","22C01",2000,360,360
"22C224",2022-10-08 00:00:00.000,"22S082","22C05",1000,180,180
"22C225",2022-10-08 00:00:00.000,"22S081","22C09",7000,1260,1260
"22C226",2022-10-08 00:00:00.000,"22S082","22C10",7000,1260,1260
"22C227",2022-10-08 00:00:00.000,"22S082","22C15",10000,1800,1800
"22C228",2022-10-10 00:00:00.000,"22S071","22C01",1000,180,180
"22C229",2022-10-10 00:00:00.000,"22S071","22C14",5000,900,900
"22C230",2022-10-13 00:00:00.000,"22S068","22C01",3000,540,540
"22C231",2022-10-13 00:00:00.000,"22S068","22C09",5000,900,900
"22C232",2022-10-18 00:00:00.000,"22S076","22C05",2000,360,360
"22C233",2022-10-19 00:00:00.000,"22S083","22C04",18000,3240,3240
"22C234",2022-10-19 00:00:00.000,"22S083","22C01",6000,1080,1080
"22C235",2022-10-19 00:00:00.000,"22S083","22C06",7500,1350,1350
"22C236",2022-10-20 00:00:00.000,"22S084","22C07",6000,1080,1080
"22C237",2022-10-20 00:00:00.000,"22S072","22C05",1000,180,180
"22C238",2022-10-20 00:00:00.000,"22S072","22C09",1000,180,180
"22C239",2022-10-27 00:00:00.000,"22S075","22C07",5000,900,900
"22C240",2022-10-27 00:00:00.000,"22S085","22C14",15000,2700,2700
"22C241",2022-10-27 00:00:00.000,"22S085","22C12",8000,1440,1440
"22C242",2022-10-27 00:00:00.000,"22S075","22C01",5000,900,900
"22C243",2022-10-29 00:00:00.000,"22S074","22C06",2500,450,450
"22C244",2022-10-29 00:00:00.000,"22S074","22C01",4000,720,720
"22C245",2022-10-30 00:00:00.000,"22S079","22C05",4000,720,720
"22C246",2022-10-30 00:00:00.000,"22S079","22C01",5000,900,900
"22C247",2022-10-30 00:00:00.000,"22S086","22C05",6000,1080,1080
"22C248",2022-10-31 00:00:00.000,"22S087","22C02",6000,1080,1080
"22C249",2022-10-31 00:00:00.000,"22S087","22C01",3000,540,540
"22C250",2022-10-31 00:00:00.000,"22S087","22C07",6000,1080,1080
"22C251",2022-11-01 00:00:00.000,"22S088","22C08",8000,1440,1440
"22C252",2022-11-01 00:00:00.000,"22S088","22C04",18000,3240,3240
"22C253",2022-11-01 00:00:00.000,"22S088","22C02",9000,1620,1620
"22C254",2022-11-03 00:00:00.000,"22S089","22C15",10000,1800,1800
"22C255",2022-11-03 00:00:00.000,"22S090","22C05",6000,1080,1080
"22C256",2022-11-03 00:00:00.000,"22S090","22C15",10000,1800,1800
"22C257",2022-11-03 00:00:00.000,"22S090","22C03",4000,720,720
"22C258",2022-11-07 00:00:00.000,"22S073","22C09",5000,900,900
"22C259",2022-11-07 00:00:00.000,"22S073","22C12",7000,1260,1260
"22C260",2022-11-08 00:00:00.000,"22S091","22C15",10000,1800,1800
"22C261",2022-11-14 00:00:00.000,"22S082","22C05",5000,900,900
"22C262",2022-11-14 00:00:00.000,"22S082","22C10",5000,900,900
"22C263",2022-11-18 00:00:00.000,"22S092","22C02",9000,1620,1620
"22C264",2022-11-21 00:00:00.000,"22S093","22C15",5000,900,900
"22C265",2022-11-21 00:00:00.000,"22S093","22C02",8000,1440,1440
"22C266",2022-11-21 00:00:00.000,"22S093","22C14",5000,900,900
"22C267",2022-11-23 00:00:00.000,"22S078","22C08",2000,360,360
"22C268",2022-11-25 00:00:00.000,"22S081","22C01",4000,720,720
"22C269",2022-11-28 00:00:00.000,"22S094","22C02",7000,1260,1260
"22C270",2022-11-28 00:00:00.000,"22S094","22C13",6000,1080,1080
"22C271",2022-11-28 00:00:00.000,"22S094","22C14",15000,2700,2700
"22C272",2022-11-29 00:00:00.000,"22S096","22C04",5000,900,900
"22C273",2022-11-29 00:00:00.000,"22S095","22C10",9000,1620,1620
"22C274",2022-11-29 00:00:00.000,"22S095","22C08",8000,1440,1440
"22C275",2022-11-29 00:00:00.000,"22S095","22C06",7500,1350,1350
"22C276",2022-11-30 00:00:00.000,"22S097","22C09",5000,900,900
"22C277",2022-11-30 00:00:00.000,"22S097","22C15",1000,180,180
"22C278",2022-11-30 00:00:00.000,"22S097","22C14",7000,1260,1260
"22C279",2022-12-07 00:00:00.000,"22S090","22C03",2000,360,360
"22C280",2022-12-11 00:00:00.000,"22S098","22C04",6000,1080,1080
"22C281",2022-12-11 00:00:00.000,"22S098","22C02",3000,540,540
"22C282",2022-12-13 00:00:00.000,"22S099","22C15",5000,900,900
"22C283",2022-12-27 00:00:00.000,"22S087","22C02",3000,540,540
"22C284",2022-12-27 00:00:00.000,"22S087","22C01",3000,540,540
"22C285",2022-12-28 00:00:00.000,"22S100","22C11",4000,720,720
"22C286",2022-12-28 00:00:00.000,"22S100","22C06",7500,1350,1350
"22C287",2022-12-29 00:00:00.000,"22S093","22C15",5000,900,900
"22C288",2022-12-29 00:00:00.000,"22S093","22C14",10000,1800,1800
"22C289",2022-12-29 00:00:00.000,"22S093","22C02",1000,180,180
"22C290",2022-12-30 00:00:00.000,"22S096","22C04",13000,2340,2340
"23C001",2023-01-18 00:00:00.000,"22S094","22C02",2000,360,360
"23C002",2023-01-20 00:00:00.000,"22S097","22C14",8000,1440,1440
"23C003",2023-01-20 00:00:00.000,"22S097","22C09",2000,360,360
"23C004",2023-01-20 00:00:00.000,"22S097","22C15",9000,1620,1620
"23C005",2023-01-21 00:00:00.000,"22S095","22C10",3000,540,540
"23C006",2023-01-24 00:00:00.000,"22S098","22C04",12000,2160,2160
"23C007",2023-01-24 00:00:00.000,"22S098","22C02",6000,1080,1080
"23C008",2023-01-30 00:00:00.000,"22S099","22C15",5000,900,900
"23C009",2023-02-06 00:00:00.000,"22S100","22C11",2000,360,360
